province,lat max,lat mid,lat min,lon min,lon mid,lon max,
Jujuy,-22,-23,-25,-67,-66,-64,
Salta,-22,-24,-26,-69,-65,-62,
Formosa,-23,-25,-27,-62,-60,-58,
Tucumán,-26,-27,-28,-66,-65,-64,
Catamarca,-25,-27,-29,-69,-67,-65,
La Rioja,-28,-30,-32,-70,-67,-66,
San Juan,-28,-31,-32,-70,-69,-67,
Santiago del Estero,-26,-27,-30,-65,-63,-62,
Chaco,-24,-26,-28,-63,-61,-58,
Corrientes,-27,-29,-31,-60,-58,-54,
Misiones,-26,-27,-28,-56,-55,-54,
Buenos Aires,-33,-36,-41,-64,-60,-56,
La Pampa,-36,-39,-41,-68,-66,-63,
Neuquén,-34,-37,-39,-72,-70,-67,
Río Negro,-38,-40,-42,-72,-67,-62,
Chubut,-42,-44,-46,-73,-69,-63,
Santa Cruz,-46,-49,-53,-74,-70,-65,
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",-53,-54,-56,-69,-67,-64,
Mendoza,-31,-35,-37,-71,-68,-66,
San Luis,-32,-34,-36,-68,-66,-64,
Córdoba,-29,-32,-35,-66,-64,-61,
Santa Fe,-27,-31,-35,-63,-61,-59,
Entre Ríos,-29,-32,-34,-61,-59,-59,
Capital Federal,-33,-36,-41,-64,-60,-56,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
